Timestamp,Coin,Strategy_Signal,Signal_Price,Current_Price,Performance_Percent,Confidence,Strategy,Signal_Timestamp,Analysis_Result,Success
2025-08-21 20:15:46,ETH,BUY,3667.9929,3196.8683,-12.84,64,moderate_momentum,2025-08-21 20:15:46,BUY signal for ETH,No
2025-07-31 08:25:12,XRP,SELL,2.5411,2.3456,7.69,94,aggressive_breakout,2025-07-31 08:25:12,SELL signal for XRP,Yes
2025-08-19 17:21:14,BNB,SELL,677.1091,734.1461,-8.42,64,moderate_momentum,2025-08-19 17:21:14,SELL signal for BNB,No
2025-08-04 12:20:50,BNB,BUY,667.2962,587.3432,-11.98,65,aggressive_breakout,2025-08-04 12:20:50,BUY signal for BNB,No
2025-08-05 08:49:42,DOT,BUY,8.8032,9.1278,3.69,94,conservative_trend,2025-08-05 08:49:42,BUY signal for DOT,Yes
2025-07-27 00:07:49,ADA,BUY,0.7383,0.6576,-10.93,69,moderate_momentum,2025-07-27 00:07:49,BUY signal for ADA,No
2025-08-17 14:49:34,DOGE,SELL,0.1749,0.1678,4.06,70,conservative_trend,2025-08-17 14:49:34,SELL signal for DOGE,Yes
2025-08-14 06:38:09,AVAX,SELL,48.4057,52.5771,-8.62,95,aggressive_breakout,2025-08-14 06:38:09,SELL signal for AVAX,No
2025-07-30 03:10:07,LINK,BUY,26.931,27.7806,3.15,88,moderate_momentum,2025-07-30 03:10:07,BUY signal for LINK,Yes
2025-08-21 23:30:32,DOT,BUY,10.4239,11.9061,14.22,87,aggressive_breakout,2025-08-21 23:30:32,BUY signal for DOT,Yes
2025-08-08 00:31:35,ETH,BUY,3530.3566,3630.9582,2.85,75,aggressive_breakout,2025-08-08 00:31:35,BUY signal for ETH,Yes
2025-08-07 14:25:05,SOL,BUY,198.6185,189.4593,-4.61,81,moderate_momentum,2025-08-07 14:25:05,BUY signal for SOL,No
2025-08-13 19:18:06,AVAX,SELL,41.7465,38.2157,8.46,62,aggressive_breakout,2025-08-13 19:18:06,SELL signal for AVAX,Yes
2025-08-07 12:02:51,BNB,BUY,775.7048,847.2192,9.22,66,aggressive_breakout,2025-08-07 12:02:51,BUY signal for BNB,Yes
2025-08-08 20:19:13,AVAX,SELL,38.0968,43.1377,-13.23,66,conservative_trend,2025-08-08 20:19:13,SELL signal for AVAX,No
2025-08-08 03:45:19,ADA,BUY,0.749,0.853,13.89,70,aggressive_breakout,2025-08-08 03:45:19,BUY signal for ADA,Yes
2025-08-18 05:46:35,DOT,BUY,9.1832,8.4659,-7.81,72,conservative_trend,2025-08-18 05:46:35,BUY signal for DOT,No
2025-07-30 04:16:16,LINK,SELL,28.5896,24.874,13.0,67,moderate_momentum,2025-07-30 04:16:16,SELL signal for LINK,Yes
2025-08-03 17:57:50,AVAX,SELL,43.6634,44.3518,-1.58,84,moderate_momentum,2025-08-03 17:57:50,SELL signal for AVAX,No
2025-08-02 20:13:27,DOGE,SELL,0.1919,0.1851,3.54,61,conservative_trend,2025-08-02 20:13:27,SELL signal for DOGE,Yes
2025-07-29 07:11:40,DOT,BUY,8.8038,8.8988,1.08,70,aggressive_breakout,2025-07-29 07:11:40,BUY signal for DOT,Yes
2025-08-17 13:38:30,LINK,SELL,25.2048,26.2607,-4.19,60,moderate_momentum,2025-08-17 13:38:30,SELL signal for LINK,No
2025-08-13 02:47:42,XRP,SELL,2.3986,2.0686,13.76,83,conservative_trend,2025-08-13 02:47:42,SELL signal for XRP,Yes
2025-07-28 09:21:38,ADA,BUY,0.8971,0.8409,-6.26,60,moderate_momentum,2025-07-28 09:21:38,BUY signal for ADA,No
2025-08-20 01:15:24,AVAX,SELL,38.664,33.8953,12.33,74,aggressive_breakout,2025-08-20 01:15:24,SELL signal for AVAX,Yes
2025-08-21 04:31:22,BTC,SELL,91370.3069,87464.7613,4.27,81,aggressive_breakout,2025-08-21 04:31:22,SELL signal for BTC,Yes
2025-08-04 12:39:30,SOL,SELL,173.6016,151.4504,12.76,87,moderate_momentum,2025-08-04 12:39:30,SELL signal for SOL,Yes
